архаический          архаичный            0.163
архаичный            архаический          0.163
обеднеть             обеднить             0.000
обеднить             обеднеть             0.000
ответный             ответственный        0.070
ответственный        ответный             0.070
отчетливый           отчетный             0.000
отчетливый           подотчетный          0.000
отчетливый           счетный              0.000
отчетный             отчетливый           0.000
отчетный             подотчетный          0.000
отчетный             счетный              0.000
подотчетный          отчетливый           0.000
подотчетный          отчетный             0.000
счетный              отчетливый           0.000
счетный              отчетный             0.000
ум                   умение               0.000
ум                   умник                0.053
умение               ум                   0.000
умение               умник                0.000
умник                ум                   0.053
умник                умение               0.000
безумный             разумный             0.127
безумный             умненький            0.047
безумный             умничающий           0.000
безумный             умный                0.115
безумный             умственный           0.052
безумный             умствующий           0.000
неразумный           разумный             0.215
разумный             безумный             0.127
разумный             неразумный           0.215
разумный             умненький            0.000
разумный             умничающий           0.000
разумный             умный                0.213
разумный             умственный           0.057
разумный             умствующий           0.000
умненький            безумный             0.047
умненький            разумный             0.000
умненький            умничающий           0.000
умненький            умный                0.043
умненький            умственный           0.000
умненький            умствующий           0.000
умничающий           безумный             0.000
умничающий           разумный             0.000
умничающий           умненький            0.000
умничающий           умный                0.000
умничающий           умственный           0.000
умничающий           умствующий           0.000
умный                безумный             0.115
умный                разумный             0.213
умный                умненький            0.043
умный                умничающий           0.000
умный                умственный           0.029
умный                умствующий           0.000
умственный           безумный             0.052
умственный           разумный             0.057
умственный           умненький            0.000
умственный           умничающий           0.000
умственный           умный                0.029
умственный           умствующий           0.000
умствующий           безумный             0.000
умствующий           разумный             0.000
умствующий           умненький            0.000
умствующий           умничающий           0.000
умствующий           умный                0.000
умствующий           умственный           0.000
будний               будничный            0.310
будничный            будний               0.310
тактический          тактичный            0.065
тактичный            тактический          0.065
хозяйский            хозяйственный        0.051
хозяйственный        хозяйский            0.051
бить                 вбивать              0.000
бить                 вбить                0.000
бить                 взбить               0.083
бить                 перебить             0.053
бить                 побить               0.167
бить                 пробить              0.000
бить                 разбить              0.046
бить                 убивать              0.040
бить                 убить                0.110
вбивать              бить                 0.000
вбивать              вбить                0.000
вбивать              взбить               0.000
вбивать              перебить             0.000
вбивать              побить               0.000
вбивать              пробить              0.000
вбивать              разбить              0.000
вбивать              убивать              0.000
вбивать              убить                0.000
вбить                бить                 0.000
вбить                вбивать              0.000
вбить                взбить               0.000
вбить                перебить             0.000
вбить                побить               0.000
вбить                пробить              0.000
вбить                разбить              0.000
вбить                убивать              0.000
вбить                убить                0.000
взбить               бить                 0.083
взбить               вбивать              0.000
взбить               вбить                0.000
взбить               перебить             0.000
взбить               побить               0.167
взбить               пробить              0.000
взбить               разбить              0.000
взбить               убивать              0.000
взбить               убить                0.000
перебить             бить                 0.053
перебить             вбивать              0.000
перебить             вбить                0.000
перебить             взбить               0.000
перебить             побить               0.105
перебить             пробить              0.000
перебить             разбить              0.263
перебить             убивать              0.077
перебить             убить                0.156
побить               бить                 0.167
побить               вбивать              0.000
побить               вбить                0.000
побить               взбить               0.167
побить               перебить             0.105
побить               пробить              0.000
побить               разбить              0.092
побить               убивать              0.081
побить               убить                0.055
пробить              бить                 0.000
пробить              вбивать              0.000
пробить              вбить                0.000
пробить              взбить               0.000
пробить              перебить             0.000
пробить              побить               0.000
пробить              разбить              0.000
пробить              убивать              0.000
пробить              убить                0.000
разбить              бить                 0.046
разбить              вбивать              0.000
разбить              вбить                0.000
разбить              взбить               0.000
разбить              перебить             0.263
разбить              побить               0.092
разбить              пробить              0.000
разбить              убивать              0.067
разбить              убить                0.137
