асоциальный          социальный           0.146
социальный           асоциальный          0.146
виновный             невинный             0.032
виновный             невиноватый          0.000
виновный             невиновный           0.192
невинный             виновный             0.032
невинный             невиноватый          0.000
невинный             невиновный           0.037
невиноватый          виновный             0.000
невиноватый          невинный             0.000
невиноватый          невиновный           0.000
невиновный           виновный             0.192
невиновный           невинный             0.037
невиновный           невиноватый          0.000
безвкусный           безыскусный          0.023
безвкусный           вкусивший            0.000
безвкусный           вкусный              0.139
безвкусный           вкусовой             0.000
безвкусный           вкушаемый            0.000
безвкусный           вкушающий            0.000
безвкусный           невкусный            0.246
безыскусный          безвкусный           0.023
вкусивший            безвкусный           0.000
вкусивший            вкусный              0.000
вкусивший            вкусовой             0.000
вкусивший            вкушаемый            0.000
вкусивший            вкушающий            0.000
вкусивший            искусный             0.000
вкусивший            искусственный        0.000
вкусивший            искушающий           0.000
вкусивший            искушенный           0.000
вкусивший            кусающий             0.000
вкусивший            кусковой             0.000
вкусивший            невкусный            0.000
вкусивший            покусавший           0.000
вкусивший            укушенный            0.000
вкусный              безвкусный           0.139
вкусный              вкусивший            0.000
вкусный              вкусовой             0.000
вкусный              вкушаемый            0.000
вкусный              вкушающий            0.000
вкусный              искусный             0.000
вкусный              искусственный        0.015
вкусный              искушающий           0.000
вкусный              искушенный           0.000
вкусный              кусающий             0.000
вкусный              кусковой             0.000
вкусный              невкусный            0.409
вкусный              покусавший           0.000
вкусный              укушенный            0.000
вкусовой             безвкусный           0.000
вкусовой             вкусивший            0.000
вкусовой             вкусный              0.000
вкусовой             вкушаемый            0.000
вкусовой             вкушающий            0.000
вкусовой             искусный             0.000
вкусовой             искусственный        0.024
вкусовой             искушающий           0.000
вкусовой             искушенный           0.000
вкусовой             кусающий             0.000
вкусовой             кусковой             0.000
вкусовой             невкусный            0.000
вкусовой             покусавший           0.000
вкусовой             укушенный            0.000
вкушаемый            безвкусный           0.000
вкушаемый            вкусивший            0.000
вкушаемый            вкусный              0.000
вкушаемый            вкусовой             0.000
вкушаемый            вкушающий            0.000
вкушаемый            искусный             0.000
вкушаемый            искусственный        0.000
вкушаемый            искушающий           0.000
вкушаемый            искушенный           0.000
вкушаемый            кусающий             0.000
вкушаемый            кусковой             0.000
вкушаемый            невкусный            0.000
вкушаемый            покусавший           0.000
вкушаемый            укушенный            0.000
вкушающий            безвкусный           0.000
вкушающий            вкусивший            0.000
вкушающий            вкусный              0.000
вкушающий            вкусовой             0.000
вкушающий            вкушаемый            0.000
вкушающий            искусный             0.000
вкушающий            искусственный        0.000
вкушающий            искушающий           0.000
вкушающий            искушенный           0.000
вкушающий            кусающий             0.000
вкушающий            кусковой             0.000
вкушающий            невкусный            0.000
вкушающий            покусавший           0.000
вкушающий            укушенный            0.000
искусный             вкусивший            0.000
искусный             вкусный              0.000
искусный             вкусовой             0.000
искусный             вкушаемый            0.000
искусный             вкушающий            0.000
искусный             искусственный        0.007
искусный             искушающий           0.000
искусный             искушенный           0.000
искусный             кусающий             0.000
искусный             кусковой             0.000
искусный             неискушенный         0.043
искусный             покусавший           0.000
искусный             укушенный            0.000
искусственный        вкусивший            0.000
искусственный        вкусный              0.015
искусственный        вкусовой             0.024
искусственный        вкушаемый            0.000
искусственный        вкушающий            0.000
искусственный        искусный             0.007
искусственный        искушающий           0.000
искусственный        искушенный           0.000
искусственный        кусающий             0.000
искусственный        кусковой             0.037
искусственный        неискушенный         0.000
искусственный        покусавший           0.000
искусственный        укушенный            0.000
искушающий           вкусивший            0.000
