патетический         патетичный           0.000
патетичный           патетический         0.000
всякий               всяческий            0.166
всяческий            всякий               0.166
возвратный           возвращенный         0.033
возвратный           навороченный         0.000
возвратный           невозвратный         0.029
возвратный           невозвращаемый       0.000
возвратный           невозвращенный       0.000
возвратный           отвратительный       0.000
возвратный           отвратный            0.000
возвращенный         возвратный           0.033
возвращенный         навороченный         0.000
возвращенный         невозвратный         0.139
возвращенный         невозвращаемый       0.000
возвращенный         невозвращенный       0.000
возвращенный         отвратительный       0.014
возвращенный         отвратный            0.000
навороченный         возвратный           0.000
навороченный         возвращенный         0.000
навороченный         отвратительный       0.000
навороченный         отвратный            0.000
невозвратный         возвратный           0.029
невозвратный         возвращенный         0.139
невозвратный         невозвращаемый       0.000
невозвратный         невозвращенный       0.102
невозвратный         неотвратимый         0.021
невозвращаемый       возвратный           0.000
невозвращаемый       возвращенный         0.000
невозвращаемый       невозвратный         0.000
невозвращаемый       невозвращенный       0.000
невозвращаемый       неотвратимый         0.000
невозвращенный       возвратный           0.000
невозвращенный       возвращенный         0.000
невозвращенный       невозвратный         0.102
невозвращенный       невозвращаемый       0.000
невозвращенный       неотвратимый         0.000
неотвратимый         невозвратный         0.021
неотвратимый         невозвращаемый       0.000
неотвратимый         невозвращенный       0.000
неотвратимый         непредотвратимый     0.051
неотвратимый         отвратительный       0.031
неотвратимый         отвратный            0.000
непредотвратимый     неотвратимый         0.051
отвратительный       возвратный           0.000
отвратительный       возвращенный         0.014
отвратительный       навороченный         0.000
отвратительный       неотвратимый         0.031
отвратительный       отвратный            0.136
отвратный            возвратный           0.000
отвратный            возвращенный         0.000
отвратный            навороченный         0.000
отвратный            неотвратимый         0.000
отвратный            отвратительный       0.136
возвысивший          возвышающий          0.000
возвысивший          возвышенный          0.000
возвысивший          высокий              0.000
возвысивший          высотный             0.000
возвысивший          высочайший           0.000
возвысивший          высший               0.000
возвысивший          повышенный           0.000
возвысившийся        возвышающийся        0.000
возвысившийся        повышающийся         0.000
возвышающий          возвысивший          0.000
возвышающий          возвышенный          0.000
возвышающий          высокий              0.000
возвышающий          высотный             0.000
возвышающий          высочайший           0.000
возвышающий          высший               0.000
возвышающий          повышенный           0.000
возвышающийся        возвысившийся        0.000
возвышающийся        повышающийся         0.000
возвышенный          возвысивший          0.000
возвышенный          возвышающий          0.000
возвышенный          высокий              0.117
возвышенный          высотный             0.000
возвышенный          высочайший           0.014
возвышенный          высший               0.032
возвышенный          повышенный           0.020
высокий              возвысивший          0.000
высокий              возвышающий          0.000
высокий              возвышенный          0.117
высокий              высотный             0.063
высокий              высочайший           0.338
высокий              высший               0.138
высокий              повышенный           0.362
высотный             возвысивший          0.000
высотный             возвышающий          0.000
высотный             возвышенный          0.000
высотный             высокий              0.063
высотный             высочайший           0.000
высотный             высший               0.020
высотный             повышенный           0.006
высочайший           возвысивший          0.000
высочайший           возвышающий          0.000
высочайший           возвышенный          0.014
высочайший           высокий              0.338
высочайший           высотный             0.000
высочайший           высший               0.126
высочайший           повышенный           0.272
высший               возвысивший          0.000
высший               возвышающий          0.000
высший               возвышенный          0.032
высший               высокий              0.138
высший               высотный             0.020
высший               высочайший           0.126
высший               повышенный           0.044
повышающийся         возвысившийся        0.000
повышающийся         возвышающийся        0.000
повышенный           возвысивший          0.000
повышенный           возвышающий          0.000
повышенный           возвышенный          0.020
повышенный           высокий              0.362
повышенный           высотный             0.006
повышенный           высочайший           0.272
повышенный           высший               0.044
возвысить            возвышать            0.000
возвысить            завысить             0.000
возвысить            завышать             0.000
возвысить            повысить             0.000
возвысить            повышать             0.000
возвысить            превысить            0.000
возвысить            превышать            0.000
возвышать            возвысить            0.000
возвышать            завысить             0.000
возвышать            завышать             0.000
возвышать            повысить             0.000
возвышать            повышать             0.000
возвышать            превысить            0.000
возвышать            превышать            0.000
возвышаться          выситься             0.000
возвышаться          повышаться           0.181
выситься             возвышаться          0.000
выситься             повышаться           0.000
завысить             возвысить            0.000
завысить             возвышать            0.000
завысить             завышать             1.000
завысить             повысить             0.271
завысить             повышать             0.229
завысить             превысить            0.267
завысить             превышать            0.236
завышать             возвысить            0.000
завышать             возвышать            0.000
завышать             завысить             1.000
завышать             повысить             0.271
завышать             повышать             0.229
завышать             превысить            0.267
завышать             превышать            0.236
повысить             возвысить            0.000
повысить             возвышать            0.000
повысить             завысить             0.271
повысить             завышать             0.271
повысить             повышать             0.551
повысить             превысить            0.406
повысить             превышать            0.388
повышать             возвысить            0.000
повышать             возвышать            0.000
повышать             завысить             0.229
повышать             завышать             0.229
повышать             повысить             0.551
повышать             превысить            0.446
повышать             превышать            0.364
повышаться           возвышаться          0.181
повышаться           выситься             0.000
превысить            возвысить            0.000
превысить            возвышать            0.000
превысить            завысить             0.267
превысить            завышать             0.267
превысить            повысить             0.406
превысить            повышать             0.446
превысить            превышать            0.742
превышать            возвысить            0.000
превышать            возвышать            0.000
превышать            завысить             0.236
превышать            завышать             0.236
превышать            повысить             0.388
превышать            повышать             0.364
превышать            превысить            0.742
всякий               всяческий            0.166
всяческий            всякий               0.166
оптимистический      оптимистичный        0.284
оптимистичный        оптимистический      0.284
саркастический       саркастичный         0.224
саркастичный         саркастический       0.224
специфический        специфичный          0.162
специфичный          специфический        0.162
эклектический        эклектичный          0.474
эклектичный          эклектический        0.474
